employment_rate,earning_growth,earning_index,productivity_hour,real_product_wage,real_consumption_wage,year,quarter
60.33701241945647,2.492709307929153,100,100,100,100,2008,1
60.26969481902058,2.478709876537244,98.79061214069553,100.63347920601444,97.48446730576521,97.24524979086968,2008,2
59.85552115583076,0.47655090627722885,98.83844165458771,98.93543091444025,95.6017189689486,95.76759261670541,2008,3
59.63204556011066,-0.3783662732879556,98.0774443913432,97.3116608294909,93.86281378116027,96.11869419207069,2008,4
59.18774564143907,-3.106117661608798,96.89388233839121,97.06802474105609,92.97686830341824,95.16019865582231,2009,1
58.51102349533313,0.8687578787907047,99.64886336717339,97.06205854990489,95.21144803225845,97.33319023003685,2009,2
58.34805299076676,1.0570167488013427,99.88318053713093,97.7976320427494,95.1137436250191,97.24794664650929,2009,3
58.2832652407274,1.9495984906813701,99.98956076689566,97.97689480643237,97.44025463312744,98.98246996161296,2009,4
57.97614051915354,3.488369617952314,100.2738990915381,98.88280721314754,97.88807085891071,100.11637177099601,2010,1
58.20356893629747,-0.2012366634197127,99.4483333193976,99.34757979527353,97.20140951250602,98.66381415503905,2010,2
58.456672236810704,0.3838455898453885,100.26657772062,99.24002681426299,97.44618309738792,98.60981744843853,2010,3
58.20217136732629,0.595999500410227,100.58549804952872,98.90744912000696,97.04753768946793,97.92766664086086,2010,4
58.302473414262224,2.4466520535317837,102.72725250281759,99.0775457023231,98.16633360388617,97.95252638995748,2011,1
58.18300369484895,2.3401957940131224,101.77561903295431,100.4388731861746,97.93555574671431,96.85635845461273,2011,2
57.75056206366111,2.082757939478297,102.3548878287394,100.03133420237862,98.46581111830517,96.73476280968922,2011,3
57.78499704666273,1.5544352474650802,102.14903448504892,100.26236886825264,97.4280948200923,95.96415447561077,2011,4
57.91563470535047,0.41598587881341853,103.15458336692231,100.42371929080541,98.54825811409775,97.09933514814696,2012,1
58.24600651516936,1.2272147507262021,103.02462444236964,99.55407305929774,97.96579235175517,96.55367350075412,2012,2
58.33447607107176,0.3150520145231317,102.67735896480673,99.24158071251273,97.57606205136256,96.54804358118889,2012,3
58.531815870781024,0.8699119175015424,103.03764110964711,98.93011707515934,97.33595658169203,95.75577271910662,2012,4
58.30600452877333,0.35474022937773686,103.52051417257177,99.10869342413326,96.71352026377185,95.21798239694003,2013,1
58.4072175997194,3.7771095553465583,106.91597737654226,99.47789619540625,99.30735337866908,97.53910602680399,2013,2
58.62880482349509,4.256173888427761,107.04748590639406,99.12119195877871,98.64000057201532,97.1097747515849,2013,3
58.8737698235534,5.2010804133864275,108.39671167981636,99.8255497487826,99.22299416576864,97.81064343514105,2013,4
59.2304860801674,5.709416253529853,109.43093123447827,99.53611823030027,99.67321582410082,98.02110075551558,2014,1
59.451254882246026,1.7394436443793238,108.77572054984459,99.53020158319435,98.76368434797874,96.31361020351065,2014,2
59.58198239925891,0.7706350299992559,107.87243133152226,99.87036159296059,96.75607738193999,95.64944456906774,2014,3
59.67754362984936,0.18519533328937854,108.59745733128655,100.22509165021346,97.70840493645866,96.49671451657356,2014,4
59.96539127090944,-0.20409355293182774,109.20758975891545,100.16555241438851,97.87966748555837,97.6119371679284,2015,1
59.76049742841791,1.0260815704825177,109.89184817156614,100.91072213838738,98.82482072166,98.30283943417247,2015,2
60.06703696609845,2.4972959415174634,110.56632518118062,101.22556904771339,99.18092852465995,98.47906068618765,2015,3
60.34406957851476,2.0412902409216116,110.81424662967912,99.88842824400565,98.52857083666201,98.54756517332832,2015,4
60.288057993132384,2.6087834129997933,112.0565792462829,100.76681148102794,99.21028158691117,99.43558952152614,2016,1
60.50186581372325,2.5198459582378208,112.6609534661502,101.08869564688887,100.26214808284827,100.37488962755401,2016,2
60.53111812340798,2.467177308331836,113.29419246670706,101.25810604618009,100.13504132141055,100.2051190583528,2016,3
60.51522514997342,2.1970155026119986,113.24885280723586,101.47771511237214,99.64479213635222,99.74765632675327,2016,4
60.6263982,2.2866307382443773,114.61889943155353,101.69288479644779,100.09384142729725,100.71682260244886,2017,1
60.7720999,2.8464738935382483,115.86781809477542,101.64919345947392,100.77989129749227,101.00143524592386,2017,2
60.6833567,3.095434627913529,116.8011401317365,103.27031091191716,101.43166230386059,100.96220786446548,2017,3
60.7666887,3.486578903625115,117.1973634178104,104.0633747371165,100.31754384742219,100.59780361985854,2017,4
61.0376629,3.3578725318828884,118.46765597191214,103.52731187899874,101.28361179077775,101.43572701204005,2018,1
61.0317939,1.8558419525730674,118.01814167250929,103.57489149690691,100.81370495193455,100.87107120388592,2018,2
61.0291905,2.6633375223140465,119.91194872335562,102.8084789167651,101.62368090570473,101.7084473212814,2018,3
61.2544601,3.3331352008003634,121.10370999229934,103.04329954393293,101.70111347814583,102.05242812100971,2018,4
61.3557097,2.7216074411893665,121.69188051224627,102.82422655607301,102.80994162831894,103.0959621189634,2019,1
61.4824384,4.412465307356506,123.22565123019558,103.10549311374537,103.34775426873945,104.13024451635967,2019,2
61.2932179,2.6663719166857502,123.10924724886576,104.04630272216716,103.47046511147353,104.142836087116,2019,3
61.5525421,1.4740461944854344,122.88883462082148,104.11924473796675,102.32948582384202,103.51138193765259,2019,4
61.6142945,1.1639718317054015,123.1083397228814,103.08329304198828,101.30762545614633,103.87383193307215,2020,1
60.8360261,-2.982571374643672,119.55035823038548,99.79542010502547,90.627458117266,100.59052539653925,2020,2
60.2753507,-0.665834107257357,122.28954389149499,108.19783552716765,97.75688581970287,103.53870104483501,2020,3
59.945636,2.426296878564327,125.87048257933051,103.6073919689089,101.5313542486854,106.32307044232392,2020,4
59.9460465,2.288618602705461,125.92582008726104,104.20397358660644,99.79443646509509,104.73872587684421,2021,1
60.1467583,7.881545360333275,128.97277394275426,105.93282034373277,104.1275506867281,107.0919989553656,2021,2
60.5169126,5.761148430083618,129.3348260295563,105.03955266445,103.67233011784015,105.94873873936558,2021,3
60.4512669,4.087565505480573,131.01552100682517,106.63950488161689,103.58623578971722,105.33787487389026,2021,4
60.5062029,6.403144875334998,133.98903278290211,105.5767232255488,104.73182497533064,105.88056211573107,2022,1
60.7050763,4.188803024188492,134.3751893980481,105.74262192783694,103.29399990455973,103.69347035432088,2022,2
60.4484601,5.970768730309528,137.05710937952924,106.1017819313686,103.88507954694762,103.30733451869632,2022,3
60.6177819,6.530807091975088,139.571891944327,105.9176139387022,101.0619621993651,102.4905168052044,2022,4
60.7553937,6.0539967608086,142.10072448741775,105.31034241061754,99.00546139210849,101.97701471816592,2023,1
60.5772217,7.916762243101605,145.013353656409,105.98280474611933,100.6772488069797,102.65050063386501,2023,2
60.3566479,7.824473757782835,147.78110693610623,106.76223085498307,101.38346091519048,103.68585845278254,2023,3
60.2419776,5.511120582328677,147.26386720841634,106.14066116688508,100.80983242665039,102.71708962928533,2023,4
60.1439736,4.77185012982555,148.88155809335368,106.14528025347839,102.34456768000854,103.78484824087407,2024,1
60.0835864,3.672113784156883,150.33840900489417,106.25171468901246,102.85664506386902,103.65893678398842,2024,2
60.0340799,2.5445884849722544,151.5415279661669,106.49169760034682,103.4842895309365,104.13417214278515,2024,3
60.0219993,3.36883783202222,152.22494807983247,106.72703400248795,103.732029879051,104.26829484680005,2024,4
60.0258052,2.6758564038294796,152.86541479971578,106.9635332679218,103.91741423640809,104.29868931947905,2025,1
60.0470494,2.1264064663583992,153.5352146553946,107.16711317159763,103.97077090458339,104.2362659884494,2025,2
60.0820289,1.7773140531780474,154.23489683911035,107.40165829235211,104.09002485127934,104.30189645599208,2025,3
60.1135434,1.7967314139931467,154.96002154191754,107.67266405069783,104.26928447918951,104.46479093637872,2025,4
60.141959,1.9068943103683234,155.78039669705248,107.9888881557554,104.39013131969612,104.59746097120437,2026,1
60.1592402,2.001006712313824,156.60746460641448,108.32017091887266,104.4721864488779,104.70794034179383,2026,2
60.1695369,2.0868378517939323,157.45352904702423,108.63582697217603,104.59759782681425,104.83478269715049,2026,3
60.177142,2.1583121493772506,158.30454251353436,108.94604098111803,104.788177549746,105.02096026600637,2026,4
60.1809686,2.1746005668366264,159.1679980866469,109.25034981530548,104.9058765789075,105.10429374453985,2027,1
60.1829081,2.2057325508539005,160.06180643030513,109.55504698554574,104.73547491743999,104.90412613188217,2027,2
60.1826929,2.2648719377547755,161.01964984141478,109.86340797277079,104.88000207600116,105.00640807004572,2027,3
60.1769817,2.3656350211889388,162.0494502113674,110.18007625344062,105.05367391681514,105.14220872918128,2027,4
60.1659375,2.466627255470355,163.09407930943863,110.5017906177466,105.22301857192619,105.27705511111712,2028,1
60.1536174,2.5512819647067086,164.14543443014526,110.82852582629292,105.22040242844903,105.2410922503241,2028,2
60.1447286,2.5983936890701997,165.20357426105704,111.15902643520721,105.41447702369518,105.39153862033518,2028,3
60.1411473,2.6036072438826663,166.26858143574262,111.48294903772515,105.59582745659392,105.53564085350641,2028,4
60.134837,2.603635915225122,167.3404553339449,111.79686359410391,105.76384821651794,105.67335750572778,2029,1
